# DIAMOND v2.0.11. http://github.com/bbuchfink/diamond
# Invocation: diamond blastx --very-sensitive --threads 8 --db /projects/medium/whitefly_ont/diamond/virusdb.dmnd --header --outfmt 6 qtitle stitle qstart qend sstart send evalue bitscore length pident mismatch gapopen --query /projects/medium/whitefly_ont/polishing/medaka_bc41_meta/consensus.fasta -o diamond_blastx_virus_bc41_meta.csv
# Fields: Query title, Subject title, Start of alignment in query, End of alignment in query, Start of alignment in subject, End of alignment in subject, Expected value, Bit score, Alignment length, Percentage of identical matches, Number of mismatches, Number of gap openings
contig_8	YP_010084323.1 movement protein (MP) [Begomovirus manihotisburkinafasoense]	1214	1981	1	256	3.58e-162	476	256	91.0	23	0
contig_8	YP_010084324.1 nuclear shuttle protein (NSP) [Begomovirus manihotisburkinafasoense]	2706	1996	62	298	2.30e-155	460	237	94.5	13	0
contig_8	YP_009547945.1 MP [Desmodium mottle virus]	2706	1996	62	301	3.45e-117	362	240	76.3	54	2
contig_8	YP_009508142.1 movement protein [Rhynchosia yellow mosaic virus]	2706	1996	63	298	7.34e-100	316	239	66.9	74	2
contig_8	YP_001333683.1 MP protein [Kudzu mosaic virus]	2706	1996	63	298	1.44e-99	315	239	66.1	76	2
contig_8	NP_803153.1 BC1 protein [Mungbean yellow mosaic India virus]	2706	1996	87	322	2.29e-99	316	240	67.9	70	3
contig_8	NP_981941.1 BC1 protein [Horsegram yellow mosaic virus]	2706	1996	63	298	1.15e-97	310	239	65.7	77	2
contig_8	NP_620378.1 movement protein [Mungbean yellow mosaic virus]	2706	1996	63	298	2.38e-96	307	239	65.3	78	2
contig_8	YP_003254643.1 BC1 protein [Velvet bean severe mosaic virus]	2706	1996	63	298	6.85e-95	303	239	62.8	84	2
contig_8	YP_009055066.1 BC1 [Dolichos yellow mosaic virus]	2706	1996	63	297	3.55e-94	301	245	64.9	68	4
contig_8	YP_004123938.1 movement protein [Rhynchosia yellow mosaic India virus]	2706	1996	85	319	3.75e-94	302	239	64.4	79	3
contig_8	YP_009547944.1 NSP [Desmodium mottle virus]	1283	1981	27	259	5.61e-84	273	233	58.4	97	0
contig_8	YP_004958236.1 movement protein [West African Asystasia virus 1]	2706	1996	62	314	3.61e-79	262	255	56.5	91	4
contig_8	YP_010839394.1 BC1 [West African Asystasia virus 1]	2706	1996	62	314	1.89e-78	260	255	55.7	93	4
contig_8	YP_009055065.1 BV1 [Dolichos yellow mosaic virus]	1331	1981	46	261	2.50e-78	258	217	56.7	93	1
contig_8	YP_009256566.1 BC1 [Cotton yellow mosaic virus]	2706	1996	61	299	6.16e-77	255	243	56.0	97	5
